psi,df,mean_prob,std_prob,cauchy_ref,n_valid
0.2,1.0,0.8110447440642183,0.07960824074895098,0.00023052280897655302,200
0.2,2.0,0.940063222815061,0.022544671746203716,,200
0.2,3.0,0.9683368713215572,0.017083201728878526,,200
0.5,1.0,0.5289371714432004,0.13562832275655878,,200
0.5,2.0,0.7215491112445247,0.03327686513271589,,200
0.5,3.0,0.8046683230648138,0.054817835117801555,,200
0.8,1.0,0.23217963162109034,0.12993260420917108,0.005202536936856088,200
0.8,2.0,0.35708601198941053,0.021841076096611966,,200
0.8,3.0,0.43773100731567394,0.03551349666525511,,200
