grid,cdf_sim,density_sample
-30909.232084679938,3.2468529200632133e-06,2.008160809727141e-10
-30764.344531509392,3.2468529200632133e-06,2.0515531665984518e-10
-30619.45697833885,3.324359631543721e-06,2.096078102610338e-10
-30474.569425168305,3.4023886012303988e-06,2.141770331934945e-10
-30329.681871997764,3.4806928643239684e-06,2.1886657926998574e-10
-30184.79431882722,3.4806928643239684e-06,2.2368016958540542e-10
-30039.906765656673,3.4806928643239684e-06,2.286216576215762e-10
-29895.01921248613,3.72372000138105e-06,2.3369503458101915e-10
-29750.131659315586,3.72372000138105e-06,2.389044349610608e-10
-29605.244106145044,3.72372000138105e-06,2.4425414238030687e-10
-29460.3565529745,3.807155570108282e-06,2.4974859567009605e-10
-29315.468999803954,3.807155570108282e-06,2.5539239524430506e-10
-29170.581446633412,3.8926026098380775e-06,2.6119030976157397e-10
-29025.693893462867,3.8926026098380775e-06,2.6714728309483855e-10
-28880.806340292325,3.979669959335593e-06,2.7326844162383775e-10
-28735.91878712178,3.979669959335593e-06,2.7955910186721215e-10
-28591.031233951235,3.979669959335593e-06,2.8602477847167443e-10
-28446.143680780693,3.979669959335593e-06,2.926711925767861e-10
-28301.256127610148,3.979669959335593e-06,2.995042805748647e-10
-28156.368574439606,4.162731668281086e-06,3.06530203286748e-10
-28011.48102126906,4.162731668281086e-06,3.1375535557523163e-10
-27866.593468098516,4.256167365389919e-06,3.211863764193515e-10
-27721.705914927974,4.350478753256051e-06,3.288301594739607e-10
-27576.81836175743,4.350478753256051e-06,3.3669386414051654e-10
-27431.930808586883,4.350478753256051e-06,3.44784927176487e-10
-27287.04325541634,4.4480963494724005e-06,3.531110748724264e-10
-27142.155702245796,4.546773971067983e-06,3.616803358274759e-10
-26997.268149075255,4.546773971067983e-06,3.705010543558591e-10
-26852.38059590471,4.546773971067983e-06,3.7958190455895935e-10
-26707.493042734168,4.648507309572475e-06,3.8893190509952826e-10
-26562.605489563623,4.648507309572475e-06,3.9856043471692777e-10
-26417.717936393077,4.751987472533232e-06,4.084772485245545e-10
-26272.830383222536,4.961400299407348e-06,4.186924951331708e-10
-26127.94283005199,4.961400299407348e-06,4.292167346465358e-10
-25983.055276881445,5.283455899768329e-06,4.4006095757860413e-10
-25838.167723710903,5.391968454492109e-06,4.5123660474459967e-10
