grid,cdf_sim,density_sample
-34534.118478045435,2.5623609837292156e-07,7.751978124460835e-12
-34389.23092487489,2.6226879351801925e-07,7.911886254552884e-12
-34244.343371704344,2.6837057177021497e-07,8.07577246492188e-12
-34099.4558185338,2.745593608192635e-07,8.243752781782543e-12
-33954.56826536326,2.745593608192635e-07,8.415947117769615e-12
-33809.68071219271,2.934221310700411e-07,8.59247941910481e-12
-33664.79315902217,2.997705062071543e-07,8.773477818986298e-12
-33519.90560585163,2.997705062071543e-07,8.959074797491531e-12
-33375.01805268109,3.062439900796528e-07,9.149407348298288e-12
-33230.13049951054,3.062439900796528e-07,9.344617152546425e-12
-33085.24294634,3.062439900796528e-07,9.544850760177375e-12
-32940.355393169455,3.062439900796528e-07,9.750259779108051e-12
-32795.467839998906,3.062439900796528e-07,9.961001072612368e-12
-32650.580286828364,3.1994022880097185e-07,1.0177236965304333e-11
-32505.692733657823,3.268095753182572e-07,1.0399135458137833e-11
-32360.805180487278,3.268095753182572e-07,1.062687045285844e-11
-32215.917627316732,3.33882478842313e-07,1.0860621986367069e-11
-32071.03007414619,3.33882478842313e-07,1.1100576475480068e-11
-31926.142520975645,3.33882478842313e-07,1.1346926972594624e-11
-31781.254967805104,3.4114322273094167e-07,1.1599873432797477e-11
-31636.36741463456,3.5583065731969573e-07,1.1859622992983052e-11
-31491.479861464013,3.5583065731969573e-07,1.2126390263578371e-11
-31346.59230829347,3.6335365062809863e-07,1.2400397633503349e-11
-31201.704755122926,3.709518004704164e-07,1.2681875589032535e-11
-31056.817201952384,3.7863435088138754e-07,1.297106304725668e-11
-30911.92964878184,3.7863435088138754e-07,1.326820770488539e-11
-30767.042095611294,3.9432244826599443e-07,1.3573566403170144e-11
-30622.154542440752,4.022322225794769e-07,1.3887405509772543e-11
-30477.266989270207,4.022322225794769e-07,1.4210001318447347e-11
-30332.37943609966,4.1029468926241104e-07,1.4541640467459761e-11
-30187.49188292912,4.2669858639132407e-07,1.4882620377708492e-11
-30042.604329758575,4.350273652812578e-07,1.5233249711581108e-11
-29897.716776588033,4.350273652812578e-07,1.5593848853626058e-11
-29752.829223417488,4.435082154861232e-07,1.5964750414190175e-11
-29607.941670246946,4.521246506329641e-07,1.6346299757233984e-11
-29463.0541170764,4.521246506329641e-07,1.673885555361023e-11
-29318.166563905856,4.521246506329641e-07,1.7142790361163386e-11
-29173.279010735314,4.6097527527561806e-07,1.7558491233089257e-11
-29028.39145756477,4.6995058667178125e-07,1.798636035607767e-11
-28883.503904394223,4.6995058667178125e-07,1.8426815719851438e-11
-28738.61635122368,4.791452634808178e-07,1.888029181981035e-11
-28593.728798053136,4.884428548234951e-07,1.9347240394592022e-11
-28448.841244882595,5.073278552287228e-07,1.9828131200468867e-11
-28303.95369171205,5.073278552287228e-07,2.0323452824617587e-11
-28159.066138541508,5.073278552287228e-07,2.0833713539419294e-11
-28014.178585370963,5.073278552287228e-07,2.135944220008261e-11
-27869.291032200417,5.370008828209525e-07,2.190118918801966e-11
-27724.403479029876,5.370008828209525e-07,2.245952740255669e-11
-27579.51592585933,5.471674387321676e-07,2.3035053303720303e-11
-27434.628372688785,5.573848741170025e-07,2.362838800900933e-11
-27289.740819518243,5.573848741170025e-07,2.4240178447247918e-11
