grid,cdf_sim,density_sample
-40915.2484708338,1.1296398339465415e-06,9.384613735561529e-11
-40770.36091766326,1.1296398339465415e-06,9.567176173213572e-11
-40625.47336449271,1.1296398339465415e-06,9.754023808915045e-11
-40480.58581132217,1.2732730668661332e-06,9.945274625787101e-11
-40335.69825815163,1.4184072530017544e-06,1.0141050339277309e-10
-40190.81070498108,1.4184072530017544e-06,1.034147653069499e-10
-40045.92315181054,1.4184072530017544e-06,1.05466827860828e-10
-39901.035598639995,1.4184072530017544e-06,1.0756802840661337e-10
-39756.148045469454,1.4938005499189238e-06,1.0971974729093042e-10
-39611.260492298905,1.5701072951335679e-06,1.1192340941825194e-10
-39466.37293912836,1.5701072951335679e-06,1.1418048587783975e-10
-39321.48538595782,1.5701072951335679e-06,1.1649249563704803e-10
-39176.59783278727,1.5701072951335679e-06,1.1886100730398237e-10
-39031.71027961673,1.6502527323550004e-06,1.212876409626615e-10
-38886.82272644619,1.6502527323550004e-06,1.2377407008396794e-10
-38741.93517327565,1.6502527323550004e-06,1.263220235158674e-10
-38597.0476201051,1.6502527323550004e-06,1.2893328755651616e-10
-38452.16006693456,1.6502527323550004e-06,1.3160970811408572e-10
-38307.272513764015,1.818551035002729e-06,1.3435319295731452e-10
-38162.38496059347,1.818551035002729e-06,1.3716571406100085e-10
-38017.497407422925,1.9046033628605356e-06,1.400493100508667e-10
-37872.60985425238,1.9920333033283933e-06,1.4300608875245655e-10
-37727.722301081834,1.9920333033283933e-06,1.4603822984895842e-10
-37582.83474791129,2.081214072671885e-06,1.4914798765310276e-10
-37437.94719474075,2.081214072671885e-06,1.5233769399855514e-10
-37293.0596415702,2.2638766998972585e-06,1.5560976125650372e-10
-37148.17208839966,2.355974600558889e-06,1.5896668548343238e-10
-37003.28453522912,2.449628831132402e-06,1.6241104970640073e-10
-36858.39698205858,2.449628831132402e-06,1.659455273524666e-10
-36713.50942888803,2.449628831132402e-06,1.6957288582926484e-10
-36568.62187571749,2.5463190054510377e-06,1.7329599026408898e-10
-36423.734322546945,2.5463190054510377e-06,1.7711780740927275e-10
-36278.846769376396,2.645729409947969e-06,1.810414097220253e-10
-36133.959216205854,2.7455654227270543e-06,1.8506997962736175e-10
-35989.07166303531,2.948641540982448e-06,1.8920681397322204e-10
-35844.18410986477,2.948641540982448e-06,1.934553286873533e-10
-35699.29655669422,2.948641540982448e-06,1.9781906364609e-10
-35554.40900352368,2.948641540982448e-06,2.0230168776568083e-10
