grid,cdf_sim,density_sample
-37158.552164170826,1.1794046240094759e-07,3.074825355503648e-12
-37013.664611000284,1.1794046240094759e-07,3.136564268607979e-12
-36868.777057829735,1.1794046240094759e-07,3.1997977171052675e-12
-36723.88950465919,1.1794046240094759e-07,3.2645681032760014e-12
-36579.00195148865,1.2191248438721385e-07,3.330919210521446e-12
-36434.11439831811,1.2191248438721385e-07,3.398896254200897e-12
-36289.22684514756,1.2191248438721385e-07,3.4685459345573788e-12
-36144.33929197702,1.260156038941146e-07,3.5399164918269064e-12
-35999.45173880648,1.260156038941146e-07,3.6130577636303507e-12
-35854.56418563593,1.260156038941146e-07,3.688021244752859e-12
-35709.67663246539,1.3025894116565688e-07,3.764860149420176e-12
-35564.789079294846,1.3025894116565688e-07,3.8436294761874755e-12
-35419.9015261243,1.3025894116565688e-07,3.924386075561535e-12
-35275.013972953755,1.3461879484617357e-07,4.007188720483591e-12
-35130.12641978321,1.3461879484617357e-07,4.092098179806675e-12
-34985.238866612664,1.3461879484617357e-07,4.179177294907969e-12
-34840.35131344212,1.3910784652629807e-07,4.268491059583852e-12
-34695.46376027158,1.3910784652629807e-07,4.360106703383446e-12
-34550.57620710104,1.3910784652629807e-07,4.454093778543866e-12
-34405.68865393049,1.437551763326309e-07,4.550524250699404e-12
-34260.80110075995,1.5784971938127225e-07,4.649472593545579e-12
-34115.91354758941,1.5784971938127225e-07,4.751015887648883e-12
-33971.02599441886,1.6749112626134167e-07,4.8552339236026164e-12
-33826.13844124832,1.6749112626134167e-07,4.962209309740203e-12
-33681.250888077775,1.6749112626134167e-07,5.072027584628647e-12
-33536.36333490723,1.6749112626134167e-07,5.18477733457649e-12
-33391.475781736684,1.6749112626134167e-07,5.300550316403353e-12
-33246.58822856614,1.7256385307985539e-07,5.419441585731587e-12
-33101.7006753956,1.8288781284383418e-07,5.541549631074496e-12
-32956.81312222505,1.8809186634158655e-07,5.6669765140108395e-12
-32811.92556905451,1.8809186634158655e-07,5.795828015750607e-12
-32667.038015883965,1.8809186634158655e-07,5.928213790414756e-12
-32522.150462713424,1.8809186634158655e-07,6.0642475253685905e-12
-32377.26290954288,1.935703290078705e-07,6.204047108967708e-12
-32232.375356372337,1.935703290078705e-07,6.347734806095264e-12
-32087.48780320179,1.9914745952784513e-07,6.495437441891173e-12
-31942.600250031246,1.9914745952784513e-07,6.6472865940951414e-12
-31797.712696860704,1.9914745952784513e-07,6.803418794450833e-12
-31652.82514369016,2.0490415214689183e-07,6.9639757396425165e-12
-31507.937590519614,2.165938569080786e-07,7.129104512263652e-12
-31363.050037349072,2.165938569080786e-07,7.298957812344392e-12
-31218.162484178527,2.165938569080786e-07,7.47369419999639e-12
-31073.274931007985,2.165938569080786e-07,7.653478349765094e-12
-30928.38737783744,2.165938569080786e-07,7.838481317314011e-12
-30783.4998246669,2.165938569080786e-07,8.028880819102433e-12
-30638.612271496353,2.165938569080786e-07,8.224861525756603e-12
-30493.724718325808,2.2296340584953934e-07,8.42661536987572e-12
-30348.837165155266,2.2945411720276504e-07,8.634341869058488e-12
-30203.94961198472,2.3600456146490642e-07,8.848248464982423e-12
-30059.062058814176,2.4923394492801155e-07,9.06855087941843e-12
-29914.174505643634,2.4923394492801155e-07,9.295473488115965e-12
-29769.28695247309,2.4923394492801155e-07,9.529249713551448e-12
-29624.399399302547,2.4923394492801155e-07,9.770122437591612e-12
-29479.511846132,2.630982236959261e-07,1.0018344435190593e-11
-29334.62429296146,2.630982236959261e-07,1.0274178830304386e-11
-29189.736739790915,2.630982236959261e-07,1.0537899575283933e-11
-29044.84918662037,2.630982236959261e-07,1.0809791955083134e-11
-28899.961633449828,2.7041270752310714e-07,1.1090153117702875e-11
-28755.074080279282,2.8520724812896576e-07,1.1379292632382162e-11
-28610.186527108737,2.8520724812896576e-07,1.1677533077141388e-11
-28465.298973938196,2.92790419172878e-07,1.1985210657386038e-11
-28320.411420767654,3.083319090461865e-07,1.2302675857386682e-11
-28175.523867597105,3.1621013704753784e-07,1.2630294126570341e-11
-28030.636314426563,3.24107250376188e-07,1.2968446602679097e-11
-27885.74876125602,3.3213449678307603e-07,1.3317530873989566e-11
-27740.861208085476,3.3213449678307603e-07,1.3677961782926803e-11
-27595.97365491493,3.3213449678307603e-07,1.405017227356077e-11
-27451.08610174439,3.3213449678307603e-07,1.4434614285637077e-11
-27306.198548573844,3.3213449678307603e-07,1.4831759697970044e-11
-27161.3109954033,3.4071403350785354e-07,1.5242101324214377e-11
-27016.423442232757,3.4071403350785354e-07,1.566615396423367e-11
-26871.535889062216,3.4071403350785354e-07,1.6104455514502406e-11
-26726.648335891667,3.5871920519615446e-07,1.6557568141209787e-11
-26581.760782721125,3.678675467710603e-07,1.702607951998442e-11
-26436.873229550583,3.771711607298755e-07,1.7510604146428235e-11
-26291.985676380038,3.771711607298755e-07,1.801178472193745e-11
-26147.098123209493,3.8674412005480896e-07,1.8530293619597067e-11
-26002.21057003895,3.964331116233257e-07,1.906683443527207e-11
-25857.323016868406,3.964331116233257e-07,1.9622143629378278e-11
-25712.43546369786,4.0636282344023417e-07,2.0196992265199637e-11
-25567.54791052732,4.164853169898673e-07,2.079218785004137e-11
-25422.660357356777,4.369059267023509e-07,2.14085762859532e-11
-25277.77280418623,4.4736191555315583e-07,2.2047043937243975e-11
-25132.885251015687,4.4736191555315583e-07,2.2708519822529925e-11
-24987.997697845145,4.4736191555315583e-07,2.3393977939625032e-11
-24843.1101446746,4.4736191555315583e-07,2.4104439732187763e-11
-24698.222591504054,4.6933821243733313e-07,2.484097670769701e-11
-24553.335038333513,4.918589929062971e-07,2.5604713217040516e-11
-24408.447485162967,5.032918702950503e-07,2.639682940676602e-11
-24263.559931992422,5.38024193092601e-07,2.72185643558747e-11
-24118.67237882188,5.38024193092601e-07,2.8071219409936248e-11
-23973.78482565134,5.38024193092601e-07,2.8956161726274966e-11
-23828.89727248079,5.38024193092601e-07,2.987482804503056e-11
-23684.00971931025,5.504469587313686e-07,3.0828728702037454e-11
-23539.122166139707,5.754523732046577e-07,3.1819451900702305e-11
-23394.23461296916,5.754523732046577e-07,3.2848668261402756e-11
-23249.347059798616,6.143700723114962e-07,3.3918135668382886e-11
-23104.459506628074,6.406911306829405e-07,3.50297044357042e-11
