grid,cdf_sim,density_sample
-37188.67938122334,1.0299605998166152e-07,3.114868324709955e-12
-37043.791828052796,1.0299605998166152e-07,3.1774099918359086e-12
-36898.90427488225,1.0299605998166152e-07,3.241465596298898e-12
-36754.016721711705,1.0299605998166152e-07,3.3070780899653595e-12
-36609.12916854116,1.0299605998166152e-07,3.3742918236943334e-12
-36464.241615370614,1.0299605998166152e-07,3.443152598831503e-12
-36319.35406220007,1.0299605998166152e-07,3.513707720818628e-12
-36174.46650902953,1.0299605998166152e-07,3.586006055014473e-12
-36029.57895585899,1.0299605998166152e-07,3.660098084828099e-12
-35884.69140268844,1.0299605998166152e-07,3.7360359722702095e-12
-35739.8038495179,1.0731344844251949e-07,3.813873621033691e-12
-35594.91629634736,1.0731344844251949e-07,3.893666742220449e-12
-35450.02874317681,1.0731344844251949e-07,3.97547292283661e-12
-35305.14119000627,1.0731344844251949e-07,4.059351697185428e-12
-35160.253636835725,1.1635501515505281e-07,4.145364621293168e-12
-35015.36608366518,1.1635501515505281e-07,4.233575350510537e-12
-34870.478530494634,1.1635501515505281e-07,4.324049720438904e-12
-34725.59097732409,1.2102549993402376e-07,4.416855831339551e-12
-34580.70342415355,1.2102549993402376e-07,4.512064136190812e-12
-34435.815870983,1.2102549993402376e-07,4.6097475325678815e-12
-34290.92831781246,1.2102549993402376e-07,4.709981458528467e-12
-34146.04076464192,1.2589752121197141e-07,4.812843992697367e-12
-34001.15321147137,1.2589752121197141e-07,4.918415958753263e-12
-33856.26565830083,1.3086372868837448e-07,5.026781034531623e-12
-33711.37810513029,1.3086372868837448e-07,5.138025865969221e-12
-33566.49055195974,1.3086372868837448e-07,5.252240186127868e-12
-33421.602998789196,1.3086372868837448e-07,5.36951693954729e-12
-33276.715445618654,1.3086372868837448e-07,5.489952412191341e-12
-33131.82789244811,1.3611708281592424e-07,5.613646367265256e-12
-32986.940339277564,1.4144778460782385e-07,5.7407021871975375e-12
-32842.05278610702,1.5224688147127777e-07,5.871227022095488e-12
-32697.165232936477,1.5224688147127777e-07,6.005331945000981e-12
-32552.277679765935,1.5224688147127777e-07,6.1431321142904566e-12
-32407.39012659539,1.6337467818558062e-07,6.28474694358307e-12
-32262.50257342485,1.6897732044943292e-07,6.4303002795404755e-12
-32117.615020254303,1.7467551228574386e-07,6.579920587963404e-12
-31972.727467083758,1.8046252943176534e-07,6.7337411486133474e-12
-31827.839913913216,1.863099427711129e-07,6.8919002592115575e-12
-31682.95236074267,1.9223626421419476e-07,7.054541449093306e-12
-31538.064807572126,1.9223626421419476e-07,7.2218137030227446e-12
-31393.177254401584,1.9223626421419476e-07,7.393871695702733e-12
-31248.28970123104,1.9834256280338247e-07,7.570876037544611e-12
