grid,cdf_sim,density_sample
-35816.02556968797,7.116459028759618e-08,2.1246121941051275e-12
-35671.13801651743,7.372504650550453e-08,2.16785281787975e-12
-35526.25046334688,7.631056402430304e-08,2.2121544986393103e-12
-35381.362910176336,8.155695549877692e-08,2.2575477539566704e-12
-35236.475357005795,8.418538411655892e-08,2.3040641091540537e-12
-35091.58780383525,8.418538411655892e-08,2.3517361349125266e-12
-34946.700250664704,8.418538411655892e-08,2.4005974864482385e-12
-34801.81269749416,8.418538411655892e-08,2.4506829443276173e-12
-34656.92514432362,8.418538411655892e-08,2.502028456996966e-12
-34512.03759115307,8.418538411655892e-08,2.5546711851064337e-12
-34367.15003798253,8.700345312485607e-08,2.6086495477116512e-12
-34222.26248481199,8.700345312485607e-08,2.6640032704412693e-12
-34077.37493164144,8.700345312485607e-08,2.7207734357226553e-12
-33932.4873784709,8.700345312485607e-08,2.7790025351629062e-12
-33787.599825300356,8.700345312485607e-08,2.838734524187607e-12
-33642.71227212981,8.700345312485607e-08,2.9000148790446384e-12
-33497.824718959266,8.997670964228277e-08,2.9628906562863954e-12
-33352.937165788724,9.2990498714898e-08,3.0274105548493983e-12
-33208.04961261818,9.910931000567e-08,3.0936249808566245e-12
-33063.16205944763,1.0527136568249373e-07,3.1615861152747146e-12
-32918.27450627709,1.1149571216741493e-07,3.231347984564982e-12
-32773.38695310655,1.1463991474917782e-07,3.3029665344745045e-12
-32628.499399936005,1.1463991474917782e-07,3.376499707121927e-12
-32483.61184676546,1.1463991474917782e-07,3.4520075215402764e-12
-32338.724293594918,1.178931324562449e-07,3.5295521578482917e-12
-32193.836740424373,1.178931324562449e-07,3.6091980452310365e-12
-32048.949187253827,1.212106074989424e-07,3.69101195392023e-12
-31904.061634083286,1.2796339411610828e-07,3.775063091375514e-12
-31759.17408091274,1.3819891175234247e-07,3.8614232028786e-12
-31614.286527742195,1.4163388880605e-07,3.950166676764236e-12
-31469.398974571654,1.4163388880605e-07,4.041370654524272e-12
-31324.51142140111,1.4163388880605e-07,4.135115146034414e-12
-31179.623868230567,1.4163388880605e-07,4.231483150167038e-12
-31034.73631506002,1.4523787907719766e-07,4.330560781068572e-12
-30889.84876188948,1.4523787907719766e-07,4.432437400395567e-12
-30744.961208718934,1.6361450437936523e-07,4.5372057558203116e-12
-30600.07365554839,1.6361450437936523e-07,4.644962126134966e-12
-30455.186102377847,1.6736793827400053e-07,4.755806473301259e-12
-30310.298549207302,1.6736793827400053e-07,4.86984260181421e-12
-30165.410996036757,1.7124726975254022e-07,4.987178325768202e-12
-30020.523442866215,1.791010692711878e-07,5.1079256440375266e-12
-29875.63588969567,1.8304957375866054e-07,5.232200924007219e-12
-29730.74833652513,1.950511033824462e-07,5.360125094315809e-12
-29585.860783354583,1.950511033824462e-07,5.4918238470985175e-12
-29440.97323018404,1.991738830316253e-07,5.627427850249313e-12
-29296.085677013496,2.033453975436631e-07,5.767072970250726e-12
-29151.19812384295,2.1172227073220802e-07,5.910900506152934e-12
-29006.31057067241,2.1172227073220802e-07,6.059057435319862e-12
-28861.423017501864,2.1172227073220802e-07,6.211696671596338e-12
-28716.53546433132,2.2042513169221675e-07,6.3689773365912996e-12
-28571.647911160777,2.2481735427043343e-07,6.531065044813667e-12
-28426.76035799023,2.2928170453507628e-07,6.698132203443972e-12
-28281.87280481969,2.4287203583620583e-07,6.870358327572573e-12
-28136.985251649145,2.474331820387714e-07,7.047930371787301e-12
-27992.097698478603,2.5206898160755663e-07,7.231043079048887e-12
-27847.210145308058,2.5206898160755663e-07,7.419899347851362e-12
-27702.322592137512,2.5206898160755663e-07,7.614710618727659e-12
-27557.43503896697,2.5206898160755663e-07,7.815697281228619e-12
-27412.547485796425,2.716470689979468e-07,8.023089102574911e-12
-27267.65993262588,2.7659156101325555e-07,8.237125679259786e-12
-27122.77237945534,2.866683049265062e-07,8.458056912961568e-12
-26977.884826284797,3.0185828460719197e-07,8.686143512215405e-12
-26832.997273114248,3.070108701004979e-07,8.921657521385597e-12
-26688.109719943706,3.070108701004979e-07,9.164882878584478e-12
-26543.222166773165,3.122843703742393e-07,9.41611600429003e-12
-26398.33461360262,3.23009894782254e-07,9.675666422532133e-12
-26253.447060432074,3.2843069756731516e-07,9.943857416642128e-12
-26108.559507261532,3.2843069756731516e-07,1.0221026721694473e-11
-25963.671954090987,3.395598543470206e-07,1.0507527255913298e-11
-25818.784400920442,3.5085650756603066e-07,1.0803727893470924e-11
-25673.8968477499,3.5085650756603066e-07,1.1110014281271789e-11
-25529.00929457936,3.5085650756603066e-07,1.142678970249352e-11
-25384.12174140881,3.6263343630467265e-07,1.1754475989848084e-11
-25239.234188238268,3.805749061384664e-07,1.2093514491733865e-11
-25094.346635067726,3.805749061384664e-07,1.244436709466879e-11
-24949.45908189718,3.990600742151858e-07,1.2807517305635937e-11
-24804.571528726636,3.990600742151858e-07,1.3183471398229164e-11
-24659.683975556094,4.053533439935292e-07,1.3572759626762706e-11
-24514.79642238555,4.181617290237577e-07,1.3975937512809017e-11
-24369.908869215004,4.181617290237577e-07,1.4393587208949073e-11
-24225.021316044462,4.3131731086732236e-07,1.4826318944868386e-11
-24080.13376287392,4.380635973799766e-07,1.527477256130517e-11
-23935.24620970337,4.5845094323380064e-07,1.5739619137763236e-11
-23790.35865653283,4.653931182318748e-07,1.6221562720338126e-11
-23645.471103362288,4.653931182318748e-07,1.6721342156477463e-11
-23500.583550191743,4.653931182318748e-07,1.7239733044007625e-11
-23355.695997021197,4.7262264920432444e-07,1.7777549802310852e-11
-23210.808443850656,4.94755731767923e-07,1.833564787413496e-11
-23065.92089068011,5.095854294144366e-07,1.891492606716368e-11
-22921.033337509565,5.095854294144366e-07,1.951632904517951e-11
-22776.145784339024,5.250461895881568e-07,2.0140849979408008e-11
-22631.258231168482,5.406666623779033e-07,2.078953337145772e-11
-22486.370677997933,5.406666623779033e-07,2.1463478060164595e-11
-22341.48312482739,5.486762916442444e-07,2.216384042561835e-11
-22196.59557165685,5.56803605285078e-07,2.2891837804704007e-11
-22051.708018486304,5.650937880594669e-07,2.364875213363629e-11
-21906.82046531576,5.820656638162585e-07,2.4435933834208823e-11
-21761.932912145217,5.907002028688198e-07,2.525480596183673e-11
-21617.045358974672,5.994284007823895e-07,2.6106868634944186e-11
-21472.157805804127,6.082337482803495e-07,2.6993703766854134e-11
-21327.270252633585,6.082337482803495e-07,2.7916980123087374e-11
-21182.38269946304,6.356538320263988e-07,2.8878458728886947e-11
-21037.495146292495,6.729804725725904e-07,2.9879998653863446e-11
-20892.607593121953,6.729804725725904e-07,3.092356320292977e-11
-20747.72003995141,6.92322454474606e-07,3.201122654517591e-11
-20602.832486780866,7.021961579630406e-07,3.3145180815045995e-11
-20457.94493361032,7.321653818051673e-07,3.4327743723146387e-11
-20313.05738043978,7.321653818051673e-07,3.5561366717260456e-11
-20168.169827269234,7.631859004498451e-07,3.684864373769957e-11
-20023.28227409869,7.947193435173097e-07,3.819232061501535e-11
-19878.394720928147,8.160755975492558e-07,3.959530516236889e-11
-19733.5071677576,8.488169096614004e-07,4.10606780195393e-11
-19588.619614587056,8.599697549601182e-07,4.2591704310697555e-11
-19443.732061416515,8.825631182975852e-07,4.4191846183726744e-11
-19298.84450824597,9.28561329494113e-07,4.586477630508327e-11
-19153.956955075428,9.637047936041195e-07,4.761439239103326e-11
-19009.069401904882,1.0352515712080485e-06,4.944483286362857e-11
-18864.18184873434,1.0474929038326689e-06,5.1360493728083094e-11
-18719.294295563795,1.0847757485923698e-06,5.336604677736024e-11
-18574.40674239325,1.1101268505381047e-06,5.546645923987857e-11
-18429.51918922271,1.1360165736299391e-06,5.766701499739438e-11
-18284.631636052163,1.149008503912907e-06,5.997333751244451e-11
-18139.74408288162,1.1624858668109994e-06,6.239141461836429e-11
-17994.856529711076,1.2034833573411028e-06,6.492762533999222e-11
-17849.96897654053,1.2310425374287496e-06,6.758876892989077e-11
-17705.08142336999,1.2736236987675014e-06,7.038209632345938e-11
-17560.193870199444,1.3025289429492012e-06,7.331534423689472e-11
-17415.306317028902,1.3323154632302382e-06,7.639677215481468e-11
-17270.418763858357,1.347453859501501e-06,7.963520247978015e-11
-17125.531210687812,1.347453859501501e-06,8.304006414423125e-11
-16980.64365751727,1.4572801984638881e-06,8.662144001686036e-11
-16835.756104346725,1.5214809360565315e-06,9.039011847056706e-11
-16690.868551176183,1.570539971599916e-06,9.435764951832881e-11
-16545.980998005638,1.603834466336002e-06,9.853640596711077e-11
-16401.093444835093,1.638189129896238e-06,1.0293965008888147e-10
-16256.205891664551,1.6733072813273568e-06,1.0758160636259302e-10
-16111.318338494006,1.744239173081744e-06,1.1247754090237126e-10
-15966.430785323464,1.835467017207871e-06,1.1764384825600384e-10
-15821.543232152919,1.8726575977792882e-06,1.2309814633512116e-10
-15676.655678982374,1.9679802800127916e-06,1.288593803253399e-10
-15531.768125811832,2.026231611094688e-06,1.3494793652241352e-10
-15386.880572641287,2.1460278373951777e-06,1.4138576715056526e-10
-15241.993019470745,2.20687717435548e-06,1.4819652734339096e-10
-15097.1054663002,2.33298740139497e-06,1.5540572560798648e-10
-14952.217913129654,2.46086301456116e-06,1.6304088925150502e-10
-14807.330359959113,2.5044816970335877e-06,1.7113174642885693e-10
-14662.442806788567,2.594179773535711e-06,1.797104266736732e-10
-14517.555253618026,2.685787154100845e-06,1.888116820055121e-10
-14372.66770044748,2.7328894785562278e-06,1.984731309686239e-10
-14227.780147276935,2.781072890414267e-06,2.08735528256074e-10
-14082.892594106394,2.9040631377086975e-06,2.1964306291316162e-10
-13938.005040935848,3.0813180798726355e-06,2.312436885021747e-10
-13793.117487765307,3.1587262238128737e-06,2.435894890540456e-10
-13648.229934594761,3.318070912400229e-06,2.56737085140047e-10
-13503.342381424216,3.5081143431385716e-06,2.7074808497846236e-10
