grid,cdf_sim,density_sample
-29238.236299941585,5.345666522317708e-06,2.163931003202829e-10
-29093.34874677104,5.48989123254873e-06,2.211873232934003e-10
-28948.4611936005,5.48989123254873e-06,2.2611005343230972e-10
-28803.573640429953,5.783244074761461e-06,2.3116534222889264e-10
-28658.68608725941,6.080177739797277e-06,2.3635738834472273e-10
-28513.798534088866,6.229312652264804e-06,2.416905436741963e-10
-28368.91098091832,6.380177849252825e-06,2.471693196874611e-10
-28224.02342774778,6.68586623428447e-06,2.527983940674671e-10
-28079.135874577234,6.68586623428447e-06,2.5858261765627797e-10
-27934.248321406692,6.840956460900628e-06,2.6452702172659444e-10
-27789.360768236147,6.840956460900628e-06,2.706368255954254e-10
-27644.473215065602,7.317923413638012e-06,2.769174445977023e-10
-27499.58566189506,7.638400809968684e-06,2.833744984387786e-10
-27354.698108724515,7.638400809968684e-06,2.900138199457298e-10
-27209.810555553973,8.293076932043396e-06,2.968414642386076e-10
-27064.923002383428,8.293076932043396e-06,3.038637183440143e-10
-26920.035449212883,8.795149848826344e-06,3.110871112746254e-10
-26775.14789604234,8.963480152552411e-06,3.1851842459977173e-10
-26630.260342871796,8.963480152552411e-06,3.26164703533584e-10
-26485.372789701254,9.135272329137122e-06,3.340332685688509e-10
-26340.48523653071,9.48301044357086e-06,3.4213172768636997e-10
-26195.597683360164,9.48301044357086e-06,3.5046798917141305e-10
-26050.710130189622,9.838263765967197e-06,3.5905027507079684e-10
-25905.822577019077,1.0195570060179684e-05,3.678871353260911e-10
-25760.935023848535,1.0195570060179684e-05,3.76987462620707e-10
-25616.04747067799,1.0562326587944088e-05,3.86360507980862e-10
-25471.159917507444,1.0932821340807615e-05,3.960158971729246e-10
-25326.272364336903,1.1119546211259944e-05,4.0596364794229257e-10
-25181.384811166357,1.1496585402298332e-05,4.162141881417449e-10
-25036.497257995812,1.1496585402298332e-05,4.267783748002148e-10
-24891.60970482527,1.1880761538184057e-05,4.3766751418619127e-10
-24746.722151654725,1.2076755197337414e-05,4.4889338292333497e-10
-24601.834598484184,1.2076755197337414e-05,4.6046825021961234e-10
-24456.94704531364,1.2474843913985895e-05,4.724049012751726e-10
-24312.059492143097,1.2474843913985895e-05,4.847166619383746e-10
-24167.17193897255,1.2474843913985895e-05,4.974174246839402e-10
-24022.284385802006,1.2888537807077493e-05,5.105216759919464e-10
-23877.396832631464,1.2888537807077493e-05,5.240445252116134e-10
-23732.50927946092,1.309991378883029e-05,5.380017349993613e-10
-23587.621726290374,1.3526963906867768e-05,5.524097534265285e-10
-23442.734173119832,1.3741382071113218e-05,5.672857478585465e-10
-23297.846619949287,1.3741382071113218e-05,5.826476407141938e-10
-23152.959066778745,1.3741382071113218e-05,5.98514147220872e-10
-23008.0715136082,1.3963308739990579e-05,6.149048152897967e-10
-22863.18396043766,1.4413535549631535e-05,6.318400676433497e-10
-22718.296407267113,1.5096388614635501e-05,6.493412463360845e-10
-22573.408854096568,1.532644011581255e-05,6.674306598205722e-10
-22428.521300926026,1.532644011581255e-05,6.861316327198084e-10
-22283.63374775548,1.5563589334112178e-05,7.054685584793024e-10
-22138.746194584935,1.5801401963499927e-05,7.254669550841391e-10
-21993.858641414394,1.5801401963499927e-05,7.461535240394132e-10
-21848.97108824385,1.653524414057292e-05,7.67556212826709e-10
-21704.083535073307,1.6782318338672476e-05,7.897042810644506e-10
-21559.19598190276,1.728265837649996e-05,8.126283706165617e-10
-21414.30842873222,1.7536337797141763e-05,8.363605799115634e-10
-21269.420875561675,1.7536337797141763e-05,8.60934542753488e-10
-21124.53332239113,1.8054107660438707e-05,8.863855119267548e-10
-20979.645769220588,1.857888927399057e-05,9.127504479195328e-10
-20834.758216050042,1.857888927399057e-05,9.400681131144093e-10
-20689.870662879497,1.884661152636096e-05,9.683791718214394e-10
-20544.983109708955,1.884661152636096e-05,9.977262965569487e-10
-20400.095556538414,1.884661152636096e-05,1.0281542810023713e-09
-20255.208003367865,1.968077077712036e-05,1.0597101601106515e-09
-20110.320450197323,1.968077077712036e-05,1.0924433378638201e-09
-19965.43289702678,2.05372235674015e-05,1.126405723224724e-09
-19820.545343856236,2.05372235674015e-05,1.161651874868295e-09
-19675.65779068569,2.05372235674015e-05,1.1982391553239345e-09
-19530.77023751515,2.112838538609991e-05,1.2362278952109393e-09
-19385.882684344604,2.1427224386380316e-05,1.2756815683033908e-09
-19240.99513117406,2.1732939520948393e-05,1.3166669782201972e-09
-19096.107578003517,2.2349409747470422e-05,1.3592544576008715e-09
-18951.220024832975,2.2349409747470422e-05,1.403518080697793e-09
-18806.332471662427,2.2349409747470422e-05,1.449535890392477e-09
-18661.444918491885,2.298962375570996e-05,1.4973901407271364e-09
-18516.557365321343,2.3961205824404344e-05,1.5471675561339835e-09
-18371.669812150798,2.4288565038155728e-05,1.5989596086443601e-09
-18226.782258980253,2.5291340764634116e-05,1.6528628144688798e-09
-18081.89470580971,2.5291340764634116e-05,1.7089790514585609e-09
-17937.007152639166,2.5977007612325394e-05,1.7674158990873896e-09
-17792.11959946862,2.7020800668674237e-05,1.8282870027391513e-09
-17647.23204629808,2.8781832200054105e-05,1.8917124642377655e-09
-17502.344493127537,2.98535679999744e-05,1.9578192607314413e-09
-17357.45693995699,3.057824539748057e-05,2.0267416942289876e-09
-17212.569386786447,3.240815872372503e-05,2.098621874292579e-09
-17067.681833615905,3.352277720995278e-05,2.173610236618397e-09
-16922.79428044536,3.390035853206736e-05,2.2518661004851265e-09
-16777.906727274814,3.5430921554016994e-05,2.3335582683247706e-09
-16633.019174104273,3.697982619768852e-05,2.4188656709721373e-09
-16488.131620933727,3.972702216295324e-05,2.5079780624818854e-09
-16343.244067763184,4.1322787261506374e-05,2.601096768768966e-09
-16198.35651459264,4.294079958681807e-05,2.698435494733506e-09
-16053.468961422097,4.4993692588781025e-05,2.8002211949783594e-09
-15908.581408251552,4.665876754516748e-05,2.9066950137225524e-09
-15763.693855081008,4.835062539471348e-05,3.0181133000611616e-09
-15618.806301910465,4.963907818472916e-05,3.1347487053287924e-09
-15473.918748739921,5.138086777082998e-05,3.256891369995669e-09
-15329.031195569376,5.314958731668361e-05,3.3848502082721023e-09
