grid,cdf_sim,density_sample
-34666.10819940357,1.656986722204996e-07,7.492832213025839e-12
-34521.22064623303,1.656986722204996e-07,7.646939699355445e-12
-34376.33309306248,1.656986722204996e-07,7.804868980406997e-12
-34231.44553989194,1.656986722204996e-07,7.966731153923978e-12
-34086.5579867214,1.7136082825474662e-07,8.132641025841132e-12
-33941.670433550855,1.7136082825474662e-07,8.302717250174727e-12
-33796.782880380306,1.8297739730501704e-07,8.477082474803793e-12
-33651.895327209764,1.8884502433133706e-07,8.655863493416296e-12
-33507.00777403922,1.8884502433133706e-07,8.839191403908708e-12
-33362.120220868674,1.9481910411450006e-07,9.027201773541284e-12
-33217.23266769813,1.9481910411450006e-07,9.220034811168134e-12
-33072.34511452759,2.009351019882234e-07,9.417835546876753e-12
-32927.45756135704,2.009351019882234e-07,9.620754019388878e-12
-32782.5700081865,2.009351019882234e-07,9.828945471594445e-12
-32637.682455015958,2.009351019882234e-07,1.0042570554607119e-11
-32492.794901845413,2.009351019882234e-07,1.0261795540753539e-11
-32347.907348674868,2.009351019882234e-07,1.0486792545927664e-11
-32203.019795504326,2.0740839615917253e-07,1.071773976176523e-11
-32058.13224233378,2.2053169367187384e-07,1.095482169811843e-11
-31913.24468916324,2.2053169367187384e-07,1.1198229436335354e-11
-31768.357135992694,2.2053169367187384e-07,1.1448160893876718e-11
-31623.46958282215,2.2053169367187384e-07,1.1704821100830725e-11
-31478.582029651607,2.2053169367187384e-07,1.1968422488917155e-11
-31333.69447648106,2.2747389314518375e-07,1.2239185193605381e-11
-31188.80692331052,2.3443792698568554e-07,1.251733737000253e-11
-31043.919370139974,2.3443792698568554e-07,1.2803115523207012e-11
-30899.03181696943,2.3443792698568554e-07,1.3096764853859436e-11
-30754.144263798888,2.3443792698568554e-07,1.3398539619663068e-11
-30609.256710628342,2.3443792698568554e-07,1.3708703513691143e-11
-30464.369157457797,2.3443792698568554e-07,1.4027530060341619e-11
-30319.481604287255,2.3443792698568554e-07,1.4355303029850401e-11
-30174.59405111671,2.3443792698568554e-07,1.4692316872324824e-11
-30029.70649794617,2.420602114406861e-07,1.5038877172312945e-11
-29884.818944775623,2.420602114406861e-07,1.5395301124984245e-11
-29739.93139160508,2.420602114406861e-07,1.5761918035056924e-11
-29595.043838434536,2.5001726557013284e-07,1.6139069839674256e-11
-29450.15628526399,2.5001726557013284e-07,1.6527111656500145e-11
-29305.26873209345,2.5001726557013284e-07,1.6926412358380372e-11
