grid,cdf_sim,density_sample
-33382.134427056575,5.961252145113945e-07,2.441676459159796e-11
-33237.24687388603,5.961252145113945e-07,2.4926494564779733e-11
-33092.359320715485,5.961252145113945e-07,2.5449060798228396e-11
-32947.47176754494,5.961252145113945e-07,2.5984842358238175e-11
-32802.5842143744,6.132723039780565e-07,2.653423116984363e-11
-32657.696661203856,6.306483602291325e-07,2.709763251004149e-11
-32512.80910803331,6.306483602291325e-07,2.7675465522138075e-11
-32367.92155486277,6.306483602291325e-07,2.826816375222621e-11
-32223.034001692224,6.664035090585412e-07,2.8876175708841863e-11
-32078.146448521682,6.664035090585412e-07,2.9499965446909355e-11
-31933.258895351137,6.847163755816273e-07,3.0140013177139785e-11
-31788.37134218059,6.847163755816273e-07,3.079681590210964e-11
-31643.48378901005,6.847163755816273e-07,3.147088808031119e-11
-31498.596235839505,7.034321735043554e-07,3.216276231953588e-11
-31353.708682668963,7.034321735043554e-07,3.2872990101020485e-11
-31208.821129498418,7.034321735043554e-07,3.360214253587055e-11
-31063.933576327872,7.034321735043554e-07,3.435081115534522e-11
-30919.04602315733,7.034321735043554e-07,3.5119608736686657e-11
-30774.158469986785,7.034321735043554e-07,3.590917016625718e-11
-30629.270916816244,7.034321735043554e-07,3.672015334185009e-11
-30484.3833636457,7.235733098824164e-07,3.7553240116141216e-11
-30339.495810475153,7.439492612492937e-07,3.840913728335319e-11
-30194.60825730461,7.645322403862608e-07,3.9288577611325047e-11
-30049.720704134066,7.645322403862608e-07,4.019232092129524e-11
-29904.833150963525,7.645322403862608e-07,4.112115521784051e-11
-29759.94559779298,7.85878307035049e-07,4.2075897871544714e-11
-29615.058044622434,7.85878307035049e-07,4.3057396857123446e-11
-29470.170491451892,7.85878307035049e-07,4.406653204987644e-11
-29325.282938281347,8.079543302879674e-07,4.510421658351186e-11
-29180.3953851108,8.302020770734691e-07,4.617139827255363e-11
-29035.50783194026,8.526246055938319e-07,4.726906110272964e-11
-28890.620278769715,8.75497692276968e-07,4.83982267929399e-11
-28745.732725599173,9.215255442751674e-07,4.955995643260137e-11
-28600.845172428628,9.449336135588281e-07,5.0755352198400065e-11
-28455.957619258086,9.684740040552148e-07,5.198555915470754e-11
-28311.07006608754,1.0162869738755165e-06,5.325176714217554e-11
-28166.182512916996,1.0162869738755165e-06,5.455521275928723e-11
-28021.294959746454,1.040595878177667e-06,5.58971814419239e-11
-27876.40740657591,1.08984114483609e-06,5.727900964632063e-11
-27731.519853405363,1.114771659611544e-06,5.870208714108987e-11
-27586.63230023482,1.114771659611544e-06,6.016785941434998e-11
-27441.744747064276,1.1403123037243192e-06,6.167783020235334e-11
-27296.857193893735,1.1403123037243192e-06,6.323356414640184e-11
-27151.96964072319,1.1403123037243192e-06,6.483668958525368e-11
-27007.082087552648,1.1932795072605503e-06,6.648890149067005e-11
-26862.194534382103,1.1932795072605503e-06,6.819196455422012e-11
-26717.306981211557,1.1932795072605503e-06,6.99477164339738e-11
-26572.419428041016,1.2479789043727846e-06,7.175807117025082e-11
-26427.53187487047,1.2479789043727846e-06,7.362502278016856e-11
-26282.644321699925,1.3042582069658498e-06,7.555064904134985e-11
-26137.756768529383,1.3042582069658498e-06,7.753711547581098e-11
-25992.869215358838,1.3042582069658498e-06,7.958667954575907e-11
-25847.981662188296,1.333379965032864e-06,8.170169507377212e-11
-25703.09410901775,1.3630218468054345e-06,8.388461690065165e-11
-25558.20655584721,1.3630218468054345e-06,8.613800579509825e-11
-25413.319002676664,1.3630218468054345e-06,8.846453363028745e-11
-25268.43144950612,1.4240537703708834e-06,9.086698884340259e-11
