grid,cdf_sim,density_sample
-27367.619965520687,1.3472690128260485e-05,9.600384316844668e-10
-27222.732412350142,1.3472690128260485e-05,9.820328459256936e-10
-27077.8448591796,1.3472690128260485e-05,1.0046382569653242e-09
-26932.957306009055,1.3472690128260485e-05,1.0278746731061383e-09
-26788.069752838514,1.3749884839337915e-05,1.0517628592333086e-09
-26643.18219966797,1.4031398488416587e-05,1.0763243693323923e-09
-26498.294646497423,1.4315433594562772e-05,1.1015815805762012e-09
-26353.40709332688,1.4315433594562772e-05,1.1275577290647691e-09
-26208.519540156336,1.4315433594562772e-05,1.1542769473073999e-09
-26063.631986985794,1.4315433594562772e-05,1.1817643035412843e-09
-25918.74443381525,1.4611077028729294e-05,1.2100458429865888e-09
-25773.856880644704,1.4907411918174994e-05,1.2391486311441785e-09
-25628.969327474162,1.4907411918174994e-05,1.269100799248273e-09
-25484.081774303617,1.521090757238145e-05,1.299931591993358e-09
-25339.194221133075,1.521090757238145e-05,1.3316714176618286e-09
-25194.30666796253,1.5521638928807962e-05,1.3643519007866861e-09
-25049.419114791985,1.5834079163598323e-05,1.3980059374917916e-09
-24904.531561621443,1.615110787437428e-05,1.4326677536611544e-09
-24759.644008450898,1.615110787437428e-05,1.468372966098036e-09
-24614.756455280356,1.615110787437428e-05,1.505158646844798e-09
-24469.86890210981,1.6802508100906902e-05,1.54306339084531e-09
-24324.981348939265,1.7788414498100963e-05,1.5821273871429835e-09
-24180.093795768724,1.8783727471090724e-05,1.6223924938201136e-09
-24035.20624259818,1.9787249665829723e-05,1.6639023168972914e-09
-23890.318689427637,1.9787249665829723e-05,1.7067022934255398e-09
-23745.43113625709,2.0469057503476024e-05,1.750839779019481e-09
-23600.543583086546,2.1507267860228622e-05,1.796364140095283e-09
-23455.656029916005,2.2205169299054947e-05,1.8433268510951897e-09
-23310.76847674546,2.2205169299054947e-05,1.891781596998614e-09
-23165.880923574914,2.2205169299054947e-05,1.9417843814396536e-09
-23020.993370404372,2.2567072066033943e-05,1.9933936407726967e-09
-22876.105817233827,2.3295927422307723e-05,2.0466703644502034e-09
-22731.218264063285,2.4029031285933947e-05,2.1016782221018135e-09
-22586.33071089274,2.4773099758816023e-05,2.1584836977302186e-09
-22441.4431577222,2.552550760612889e-05,2.2171562314676e-09
-22296.555604551653,2.7044055067702057e-05,2.277768369367241e-09
-22151.668051381108,2.9350064255254094e-05,2.340395921737611e-09
-22006.780498210566,3.012462295379184e-05,2.405118130561762e-09
-21861.89294504002,3.051927755118982e-05,2.4720178465828413e-09
-21717.005391869476,3.1712835280749566e-05,2.5411817166775934e-09
-21572.117838698934,3.412182797115502e-05,2.612700382184103e-09
-21427.23028552839,3.452559012373392e-05,2.6866686888974956e-09
-21282.342732357847,3.452559012373392e-05,2.7631859094986856e-09
-21137.455179187302,3.4938666476117855e-05,2.8423559792369767e-09
-20992.56762601676,3.6201384630683004e-05,2.92428774574701e-09
-20847.680072846215,3.662453661832765e-05,3.009095233945282e-09
-20702.79251967567,3.748429554027954e-05,3.0968979270212755e-09
-20557.904966505128,3.9219174467173095e-05,3.187821064614055e-09
-20413.017413334583,4.097567432799142e-05,3.2819959593465913e-09
-20268.129860164037,4.097567432799142e-05,3.379560332978862e-09
-20123.242306993496,4.1874071530947106e-05,3.4806586735363625e-09
-19978.35475382295,4.3690926640307445e-05,3.5854426148745714e-09
-19833.46720065241,4.599161128071626e-05,3.694071340252457e-09
-19688.579647481864,4.784678991605774e-05,3.8067120116101216e-09
-19543.692094311322,4.879119156786977e-05,3.923540226378163e-09
-19398.804541140777,4.9267947008248175e-05,4.0447405037902086e-09
-19253.91698797023,4.975041450097836e-05,4.1705068028260755e-09
-19109.02943479969,5.072510990389752e-05,4.301043074083684e-09
-18964.141881629144,5.220827416318761e-05,4.436563848061454e-09
-18819.2543284586,5.370487838105069e-05,4.577294862535383e-09
-18674.366775288057,5.471457609796419e-05,4.723473731932926e-09
-18529.479222117516,5.72750805896481e-05,4.875350661845533e-09
-18384.591668946967,5.934706561899048e-05,5.0331892120813e-09
-18239.704115776425,6.195736979899118e-05,5.197267111943634e-09
-18094.816562605884,6.513342186066135e-05,5.367877131732237e-09
-17949.92900943534,6.781487966694433e-05,5.545328014801021e-09
-17805.041456264793,6.890481408517877e-05,5.729945474878771e-09
-17660.15390309425,7.00048135370394e-05,5.922073263763544e-09
-17515.266349923706,7.22346354940616e-05,6.122074314945404e-09
-17370.37879675316,7.391879762113301e-05,6.3303319691990765e-09
-17225.49124358262,7.391879762113301e-05,6.547251288720616e-09
-17080.603690412077,7.507219337045444e-05,6.773260466968102e-09
-16935.71613724153,7.565738708403782e-05,7.008812342007417e-09
-16790.828584070987,7.683822463408184e-05,7.2543860218720945e-09
-16645.941030900445,7.863670949990698e-05,7.510488631220499e-09
-16501.0534777299,7.863670949990698e-05,7.777657189429444e-09
-16356.165924559356,8.11055618763711e-05,8.056460631203813e-09
-16211.278371388811,8.611259141037315e-05,8.347501981819159e-09
-16066.390818218268,8.928300897383623e-05,8.651420700258771e-09
-15921.503265047724,9.056822916147795e-05,8.968895204770639e-09
-15776.61571187718,9.382041622982465e-05,9.300645596766216e-09
-15631.728158706637,9.644649737368142e-05,9.647436600526708e-09
-15486.840605536092,0.0001004528282896036,1.0010080737894883e-08
-15341.953052365549,0.00010248929217899416,1.0389441759022377e-08
-15197.065499195005,0.00010317435206184367,1.0786438352346546e-08
-15052.177946024462,0.00010456509880084098,1.1202048159303067e-08
-14907.290392853918,0.00010739057979650799,1.1637312121871743e-08
-14762.402839683373,0.00010810617039866752,1.2093339193939494e-08
-14617.51528651283,0.000113177304507851,1.2571311450671272e-08
-14472.627733342286,0.00011464583007889001,1.307248963366163e-08
-14327.740180171742,0.0001161342072602351,1.359821917362867e-08
-14182.852627001199,0.00011688938126278416,1.4149936736872218e-08
-14037.965073830654,0.00012070589572350024,1.4729177346703942e-08
-13893.07752066011,0.00012459193744808578,1.533758213663475e-08
-13748.189967489567,0.00012616723755938712,1.597690679835947e-08
-13603.302414319023,0.0001301665783106857,1.6649030794592223e-08
-13458.414861148478,0.00013584654603445326,1.735596741468418e-08
-13313.527307977934,0.00013831109153740847,1.8099874759817256e-08
-13168.639754807391,0.00014082496105471024,1.8883067754538606e-08
-13023.752201636848,0.00014251460211749982,1.9708031292651164e-08
-12878.864648466304,0.00014682538872190482,2.057743463816516e-08
-12733.977095295759,0.0001494545834650704,2.1494147216365462e-08
-12589.089542125215,0.00015389844044382423,2.246125594628862e-08
-12444.201988954672,0.00016019692932273566,2.3482084284305476e-08
-12299.314435784128,0.0001675069811041462,2.456021316939723e-08
-12154.426882613585,0.0001712241103484279,2.569950408445232e-08
-12009.53932944304,0.000173115019610013,2.6904124474940853e-08
-11864.651776272496,0.00018077951544326077,2.8178575797132454e-08
-11719.764223101953,0.00018854069248960668,2.9527724503207566e-08
-11574.87666993141,0.000194470347501758,3.0956836310847696e-08
-11429.989116760866,0.0002004803467774325,3.2471614150984156e-08
-11285.10156359032,0.00020661676907931506,3.407824024027856e-08
-11140.214010419777,0.00021490058026541197,3.578342278570386e-08
-10995.326457249233,0.00022543973059386112,3.759444789861675e-08
-10850.438904078688,0.00023508194617367627,3.951923737647947e-08
-10705.551350908147,0.0002405140050102687,4.156641310375496e-08
-10560.663797737601,0.00025049260974162676,4.3745368931628084e-08
-10415.77624456706,0.0002583688356454515,4.6066351021674944e-08
-10270.888691396514,0.00026752586705794764,4.8540547784512316e-08
-10126.001138225969,0.0002861449992211671,5.118019071448589e-08
-9981.113585055427,0.0002920385862240446,5.399866762003033e-08
-9836.226031884882,0.00030403491163086467,5.70106499817766e-08
-9691.33847871434,0.00032483517654847765,6.023223644320091e-08
-9546.450925543795,0.0003422935305654593,6.368111475936943e-08
-9401.56337237325,0.0003613159992271948,6.737674490753703e-08
-9256.675819202708,0.00037808772773496294,7.134056651045779e-08
-9111.788266032163,0.0003938411393352208,7.559623425322866e-08
-8966.900712861621,0.0004058757126171985,8.016988560443025e-08
-8822.013159691076,0.0004289541439526809,8.509044590328195e-08
-8677.12560652053,0.0004524927853191218,9.038997677243016e-08
-8532.238053349989,0.0004651652605253396,9.610407489294491e-08
-8387.350500179444,0.0004952721206752317,1.0227232947404582e-07
-8242.462947008902,0.0005347280664347277,1.0893884831479574e-07
-8097.575393838357,0.0005600065879938147,1.1615286425095632e-07
-7952.6878406678115,0.0005918016871738888,1.23969436085959e-07
-7807.80028749727,0.0006274200517450375,1.3245026091995903e-07
-7662.912734326725,0.0006574101417730088,1.4166461824153328e-07
-7518.025181156183,0.0006992308663558773,1.516904703942415e-07
-7373.137627985638,0.0007434263191953107,1.626157492823638e-07
-7228.250074815092,0.0007867715508413513,1.745398657045804e-07
-7083.362521644551,0.0008447463701229685,1.8757548584947015e-07
-6938.474968474005,0.0008847006121486964,2.0185062970793841e-07
-6793.587415303464,0.0009324543350785633,2.1751115905500266e-07
-6648.6998621329185,0.0009757398205955773,2.347237390224563e-07
-6503.812308962373,0.0010347074100644426,2.536793781883228e-07
-6358.924755791832,0.0011023107540851086,2.745976789818139e-07
-6214.037202621286,0.0011773480391064886,2.977319649915664e-07
-6069.149649450745,0.0012518928039977131,3.2337549714263717e-07
-5924.262096280199,0.0013479873210104894,3.518690503771591e-07
-5779.374543109654,0.00141942244515475,3.836102016210269e-07
-5634.486989939112,0.001519719977970195,4.1906478579298885e-07
-5489.599436768567,0.001641283304535612,4.5878111995462314e-07
-5344.711883598025,0.0017783401086714787,5.034077917365478e-07
-5199.82433042748,0.001920877263984957,5.537160795167881e-07
-5054.936777256935,0.0020732137726603176,6.106284523469477e-07
-4910.049224086393,0.0022822655483878468,6.752551389404334e-07
-4765.161670915848,0.0024629946183365847,7.489415372472222e-07
-4620.274117745306,0.002655014570084065,8.333303859421715e-07
-4475.386564574761,0.0028316012894861495,9.304443411313071e-07
-4330.499011404216,0.0030991346877221005,1.0427972332312205e-06
-4185.611458233674,0.0033645165955854964,1.1735463893941523e-06
-4040.7239050631288,0.0037292467554803357,1.3267049764181012e-06
-3895.836351892587,0.004092487772264976,1.5074440693670063e-06
-3750.948798722042,0.0044920519389366875,1.7225321458752875e-06
-3606.0612455514965,0.0048672938687008135,1.9809903978178353e-06
-3461.173692380955,0.005333316945530462,2.295095042286699e-06
-3316.2861392104096,0.005868020381869033,2.681947064276266e-06
-3171.398586039868,0.006499663022539073,3.16596808855972e-06
-3026.5110328693227,0.007216252969016908,3.782829247397778e-06
-2881.6234796987774,0.008129466768732092,4.5851495488795735e-06
-2736.7359265282357,0.009043117952518834,5.648337254018645e-06
-2591.8483733576904,0.01011094758941529,7.0671246101202945e-06
-2446.960820187149,0.011390722492403126,8.920710208492649e-06
-2302.0732670166035,0.012866291523591294,1.1217201428663865e-05
