"Date","cycle","u_t","residuals"
"2021-06",8401.79064188123,490.00394679957,-4259.36185388804
"2021-07",14383.7442799808,838.879682601588,4671.73781987982
"2021-08",19324.3520532231,1127.02270016377,6711.94438015646
"2021-09",15352.2308097087,895.363144546393,-8463.661384401
"2021-10",32287.4068836325,1883.04582668833,18818.4647620182
"2021-11",27384.1983068687,1597.08398152888,80.7171885009118
"2021-12",16098.2677300657,938.8730403549,-7291.20390829999
"2022-01",7690.03134979536,448.493169257123,-8887.91382525558
"2022-02",11816.4413038505,689.151053961008,3829.23177242095
"2022-03",13578.5232058623,791.918085820373,4895.29594094667
"2022-04",5170.73493071787,301.564348827769,-5618.3026756876
"2022-05",-1337.517684877,-78.0058647542314,-2159.9416513323
"2022-06",-13933.6030768621,-812.626830614801,-13323.4072009399
"2022-07",-10973.85006395,-640.00997788707,3611.68738166775
"2022-08",-14858.3100306086,-866.557007678502,-3831.99932180847
"2022-09",-16079.4321084117,-937.774521081534,-1903.47135251386
"2022-10",-15625.21093773,-911.28371979395,1085.90682891411
"2022-11",-19569.4682611164,-1141.31821339563,-4068.14373086198
"2022-12",-20815.4267405989,-1213.98421978853,-3859.61958964517
"2023-01",-14856.7654610981,-866.466926267467,5250.94293004886
"2023-02",-15490.297816548,-903.415401637498,-2665.89836537855
"2023-03",-10809.3710028476,-630.417333587617,3966.58343425802
"2023-04",-10677.8591763673,-622.747383600416,590.116980447544
"2023-05",-13394.346056588,-781.17662201802,-3878.78964330532
"2023-06",-10812.4579721012,-630.597369865882,2643.32577017567
"2023-07",-12743.4073531867,-743.212984576105,-1030.78157899962
"2023-08",-16733.6103100407,-975.927090500554,-4500.15888442224
"2023-09",-16396.0408741,-956.239578280798,-2520.49183699453
"2023-10",-9401.78419381128,-548.324941466741,5503.44041508933
"2023-11",-7068.46101433561,-412.24233528959,731.330598983721
"2023-12",-3232.92031745306,-188.548344366483,3642.0133541977
"2024-01",-3636.8334974746,-212.105114680222,-6162.934859807
"2024-02",14254.035809162,831.314906788477,14465.5671867227
"2024-03",23661.6981217552,1379.98266819988,13453.1271057985
"2024-04",12235.37819351,713.584027614248,-12181.7160630467
"2024-05",18359.0752340498,1070.72643293815,8285.88147147037
"2024-06",12814.2526379657,747.344778693994,-5062.89020729621
"2024-07",14023.0212028177,817.841818288416,3750.02498056659
"2024-08",7641.24831950963,445.648076062621,-6823.37296058676
