"Date","cycle","u_t","residuals"
"1980M02",691.177365045076,264.677815355734,549.407479499952
"1980M03",493.12560931356,188.836347325359,336.543540196082
"1980M04",39.6646619790484,15.1890912671215,-68.0100755606513
"1980M05",-145.816544320846,-55.838640478406,-327.664610560574
"1980M06",195.270616996988,74.7764653817307,0.612744341231434
"1980M07",569.515897643329,218.089062550197,336.694306585932
"1980M08",578.707542611226,221.608889200582,27.9602350188455
"1980M09",696.32940248094,266.650724310972,131.555657406151
"1980M10",779.660862496568,298.561475303088,331.916583739228
"1980M11",587.075934990524,224.813461463807,7.40368838458909
"1980M12",571.842616393326,218.980050691362,57.792227568758
"1981M01",630.924373228567,241.604678055295,144.53600615767
"1981M02",643.880259653995,246.565974371554,152.514175617468
"1981M03",611.364461583734,234.114452037306,49.7402579573798
"1981M04",671.426196719998,257.114349959751,88.5090957257828
"1981M05",761.709965446664,291.687401505063,292.378190038675
"1981M06",623.555087389894,238.782701273135,12.887163464813
"1981M07",648.495004784152,248.333133889854,218.521783786973
"1981M08",541.058348482055,207.191596395626,337.36016614813
"1981M09",163.768745516717,62.7132136829843,94.1354265028185
"1981M10",-156.254351911679,-59.8356696780891,-88.0622476946377
"1981M11",-231.492755250644,-88.647284805723,-340.990045633096
"1981M12",204.872929718628,78.4535521644561,217.235650958142
"1982M01",377.063883424446,144.391946208804,104.477946379689
"1982M02",503.499705485447,192.808979025886,205.648552084077
"1982M03",477.297086076684,182.775010304621,262.326977113297
"1982M04",254.068830344654,97.2925132772889,62.7264768103556
"1982M05",106.724060587942,40.8686577872341,-23.7766722070046
"1982M06",114.769938697689,43.9497272035736,145.998261051347
"1982M07",28.6128030767287,10.9569187194932,79.8127841629677
"1982M08",-56.6418934426284,-21.6903118825795,484.155738820694
"1982M09",-670.88891880591,-256.908606033906,-86.8048126356206
"1982M10",-1037.92260390678,-397.459611965833,105.025101950552
"1982M11",-1495.83210302699,-572.810385858536,-474.600832614988
"1982M12",-1330.29856178622,-509.42136550072,-134.88067539277
"1983M01",-1088.69158388985,-416.900964344146,-229.265427682282
"1983M02",-638.670508393758,-244.570964621753,-194.627545405649
"1983M03",-18.2862739560058,-7.0025022323415,445.228411501459
"1983M04",-17.8848912213276,-6.84879768310586,-112.667826366237
"1983M05",208.18777026346,79.7229293142729,329.107063488547
"1983M06",69.7859789520741,26.7236767082088,40.3417080529831
"1983M07",-1.63760308893472,-0.627099829825558,-21.894028618078
"1983M08",52.3691477351143,20.0541168093197,54.9220249476192
"1983M09",113.058367654634,43.294302261421,294.756586861385
"1983M10",-122.918211182787,-47.0700072783388,-21.0354737499486
"1983M11",-214.009728993747,-81.9523763357664,-62.3698194519432
"1983M12",-146.864377551612,-56.2398952422369,88.3353657540188
"1984M01",-140.628697320216,-53.8520186936535,87.6923098949781
"1984M02",-181.24809555072,-69.4067143888941,-75.9354129426433
"1984M03",-52.966894396198,-20.2830164932402,49.217319103304
"1984M04",62.4719825095013,23.9228723158174,232.737124869572
"1984M05",-55.7739797717666,-21.3579550868587,32.5413389307846
"1984M06",-114.947778215857,-44.017828645451,139.760031525911
"1984M07",-271.691979443462,-104.041080054872,-109.203308039178
"1984M08",-202.748263132645,-77.63993739815,136.305720166416
"1984M09",-262.95621257292,-100.695826278222,-4.71894640214478
"1984M10",-250.853846637868,-96.0613750674014,79.6522297460641
"1984M11",-288.577155218216,-110.507049083919,-39.5118713204287
"1984M12",-216.660192603838,-82.9673385632306,54.1688735022079
"1985M01",-170.334786409131,-65.2275977569289,32.7909143451244
"1985M02",-111.731092487549,-42.7860386674921,3.29236064811328
"1985M03",1.02204761901064,0.391380483027859,-42.0380713531023
"1985M04",227.496654491012,87.1170274904654,176.778441114069
"1985M05",287.564740823197,110.119357524762,210.187639591396
"1985M06",179.096563934544,68.582811991857,419.778461506257
"1985M07",-344.839837719512,-132.052146831044,-96.2552543983686
"1985M08",-592.177807601382,-226.767160420336,175.799739521409
"1985M09",-997.148028372823,-381.845493043286,41.4402364547204
"1985M10",-1398.87661342178,-535.68248139688,-85.9080496399293
"1985M11",-1678.28198209309,-642.677308366891,-233.765354673597
"1985M12",-1700.97175993056,-651.366077896457,10.9661064947686
"1986M01",-1837.24062277074,-703.548551949546,-74.9790735059031
"1986M02",-1968.07012166905,-753.648088918953,-220.621804235825
"1986M03",-1921.5276314409,-735.825218469485,95.6786519697176
"1986M04",-2136.06534117577,-817.979778493807,-211.397797800058
"1986M05",-2186.32061336056,-837.224412830335,-111.87669955305
"1986M06",-2239.71432849723,-857.670875042211,55.3367211393303
"1986M07",-2516.65049732941,-963.720152501854,-160.538994126326
"1986M08",-2723.71584885454,-1043.01326545552,-148.314062171111
"1986M09",-2913.77769347039,-1115.79509593709,-155.412559530576
"1986M10",-3102.08232524889,-1187.9040235164,-228.476577550467
"1986M11",-3215.65355540944,-1231.39472012537,-137.221683580306
"1986M12",-3399.79125935087,-1301.90797427492,-213.703790219001
"1987M01",-3561.77050033053,-1363.93591934901,-397.487674592954
"1987M02",-3487.44010864835,-1335.47201604441,-137.92424110703
"1987M03",-3551.32143180734,-1359.93457791469,-282.586812040572
"1987M04",-3545.80890805037,-1357.82362518551,-558.925662628315
"1987M05",-3128.96957344867,-1198.20016235767,148.858030427114
"1987M06",-3250.54310443704,-1244.75524100233,-440.374802078895
"1987M07",-3054.74503416637,-1169.77679391917,-411.273399794581
"1987M08",-2622.86581443644,-1004.39399327118,180.077669412245
"1987M09",-2717.07232648358,-1040.46921080857,-412.108552866062
"1987M10",-2477.31121338198,-948.655660723847,-97.7853837873354
"1987M11",-2350.50815314153,-900.097998592253,-1307.91948507672
"1987M12",-742.169708716227,-284.20470209322,760.962707148539
"1988M01",-443.084306423489,-169.673649881361,-164.815069442126
"1988M02",40.5653540376008,15.5340001406207,-4858.54501289494
"1988M03",6764.19999182823,2590.2666479097,2915.61180275839
"1988M04",9177.14001310592,3514.27215751511,3179.1452147916
"1988M05",8092.95363112599,3099.09640446919,1273.14271999084
"1988M06",6565.43824787872,2514.15329868071,525.632448573215
"1988M07",5480.0288197245,2098.50919524332,239.623119570496
"1988M08",4994.50964377796,1912.58563741028,2043.50976879133
"1988M09",2610.62273298091,999.705656793811,-880.759953766942
"1988M10",2220.57156239196,850.340389744453,-1324.69071515991
"1988M11",3942.23946337542,1509.6317986445,-1273.36735209044
"1988M12",7463.8926332567,2858.20528293965,2287.64360142448
"1989M01",8219.16685084592,3147.42819447551,644.703708283962
"1989M02",8974.94030319012,3436.84228178041,2387.05892323623
"1989M03",7571.92775783758,2899.57599645236,1341.15348499415
"1989M04",5646.47473125526,2162.24759650879,780.389296884568
"1989M05",3816.26831454055,1461.39270668684,292.917076148132
"1989M06",2487.95203031414,952.730429837593,-637.691790086344
"1989M07",2609.83995468109,999.405901534479,-127.404009818795
"1989M08",3240.02696658587,1240.72821619916,2040.14947467863
"1989M09",1553.68780731885,594.965511579182,-229.446917303351
"1989M10",763.272217962745,292.285646765834,123.223906350248
"1989M11",143.617951268671,54.9967164870611,445.577253739096
"1989M12",-823.343129459077,-315.289058661766,742.848739443926
"1990M01",-2554.88026907875,-978.359770319058,-1181.27571464583
"1990M02",-2607.65635949329,-998.569720789624,-1993.95983469536
"1990M03",-287.314579022124,-110.023561159976,1699.12909564015
"1990M04",-580.177985180656,-222.171976978865,-7.98800603760733
"1990M05",-783.467418550077,-300.019148819648,53.8969634675107
"1990M06",-1017.59924302968,-389.677032515641,-898.449405016993
"1990M07",-76.3837772458345,-29.2502218858513,-672.721466216446
"1990M08",1611.07651202169,616.941805588537,1291.41987663113
"1990M09",1548.87974737392,593.124324545749,1436.15392653454
"1990M10",-95.7883797345438,-36.6809741851878,-569.002743591823
"1990M11",-597.35412908101,-228.749368649504,-7.84472076503332
